title,rating,room_type,price
Sheraton New Delhi Hotel,8.4,Deluxe Double or Twin Room,14000
The Grand Orion - Kailash Colony,7.6,Deluxe Double or Twin Room with City View,3899
"Hotel Nitya Maharani "" Couple Friendly "" Vaccinated Staff""",8.5,Deluxe Double Room,2049
bloomrooms @ Janpath,8.2,Standard King Room,6500
Hotel Square Stay,8.6,Superior Double Room,1019
Shangri-La Eros New Delhi,8.5,Deluxe King Room,10800
Airport Hotel Ramhan Palace Mahipalpur,7.8,Standard Double or Twin Room with Airport Drop,2430
Hotel Maya Cottage ''Couple Friendly'',7.7,Economy Double Room,926
Roseate House New Delhi,8.3,Deluxe Room,13649
Hotel Aeropath Near IGI Airport Delhi,7.7,Deluxe Double or Twin Room,2169
LetsBunk Poshtel & Suites,7.9,King Room,4950
Hotel Kingston Park near Ganga Ram Hospital,7.0,Compact Room,1931
ibis New Delhi Aerocity - An Accor Brand,6.9,Standard Queen Room,7199
The Leela Palace New Delhi,9.1,Grand Deluxe Room ,21000
MELFORT BeD & BREAKFAST,10,Basic Triple Room,1070
Airport Hotel Green Height,8.6,Deluxe Double Room,831
Hotel Olive Zone Near Delhi Airport,6.9,Day Use Room Strictly for 5 hours (12PM to 5PM),1200
Hotel Aero Star Near Delhi Airport,8.4,Deluxe Double or Twin Room,3381
Bed and Chaï,7.6,Deluxe Double Room,2200
The Grand Uddhav,7.6,Standard Double Room,2015
"Ambassador, New Delhi - IHCL SeleQtions",8.0,"Superior Room Queen Bed with 15% off on Food and Soft Beverages, Happy Hours (Buy 1 & Get 1) on select menu at InSomnia",12000
Hotel International Inn - Near Delhi Airport,8.1,Compact Room,2342
Hotel Vertu,7.2,Deluxe Double Room,2399
Radisson Blu Hotel New Delhi Paschim Vihar,6.7,Superior Double or Twin Room,8500
Hotel Qualia Suites at Delhi Airport,8.0,Deluxe Double Room (2 Adults + 1 Child),1079
Wongdhen House,8.6,Twin Room,1785
Hotel The Raj,7.2,Standard Double Room with Fan,1018
Hotel City Star,8.1,Deluxe Double Room,2850
Hotel Belwood Delhi Airport,7.0,Deluxe Double Room,1705
The Hosteller New Delhi,8.4,"Deluxe Double Room (Double Room with Attached Bathroom, 02 Hrs Early Check-in {Subject to availability}, High Speed WiFi and 10% off on F&B)",3022
The Aster Karol Bagh,8.1,Deluxe Room,2886
The C Park Inn Karol Bagh just 1 km from New Delhi railway station,7.4,Deluxe Double Room,1562
"Vivanta New Delhi, Dwarka",8.3,Superior Room City View King Bed,9775
FabHotel White Klove Paharganj,7.9,Superior Double Room,1403
Hotel Gold Souk - Karol Bagh,9.0,Deluxe Double Room,3599
New Delhi YMCA Tourist Hostel,6.7,Standard Double or Twin Room,3500
Hotel Amar International,7.5,Standard Double or Twin Room,1082
Hotel Peace Point - 1 min walking distance from station,6.7,Deluxe Double Room,1274
goSTOPS Delhi,7.8,"Double Room with Private Bathroom - 3 Hours Early Check-in or Late Check out (subject to availability), Working Space, High Speed Wi-Fi",2499
